CarID,Make,Model,Year,Color,Price,Mileage,FuelType,Transmission,Available
1,Toyota,Camry,2020,Red,24000,30000,Gasoline,Automatic,Yes
2,Ford,Focus,2019,Blue,20000,40000,Gasoline,Manual,No
3,Honda,Civic,2021,Black,22000,25000,Hybrid,Automatic,Yes
4,Chevrolet,Malibu,2018,White,21000,50000,Gasoline,Automatic,Yes
5,BMW,3 Series,2022,Gray,35000,15000,Diesel,Automatic,No
6,Audi,A4,2023,Silver,37000,10000,Electric,Automatic,Yes
7,Hyundai,Elantra,2020,Green,19500,32000,Gasoline,Manual,Yes
8,Nissan,Altima,2019,Yellow,23000,41000,Hybrid,Automatic,No
9,Kia,Sorento,2021,Brown,25000,29000,Diesel,Manual,Yes
10,Volkswagen,Golf,2022,Orange,27000,18000,Electric,Automatic,Yes
